entry_id,simplified,pinyin_numbered,pinyin_marked,pinyin_search,hsk_system,hsk_level,hsk_order,part_of_speech,definitions_id,measure_word,notes,source,status
new_hsk_2021_1_0001,我,wo3,wǒ,wo,new_hsk_2021,1,1,pronoun,saya; aku,,,manual,draft
new_hsk_2021_1_0002,你,ni3,nǐ,ni,new_hsk_2021,1,2,pronoun,kamu; Anda,,,manual,draft
new_hsk_2021_1_0003,他,ta1,tā,ta,new_hsk_2021,1,3,pronoun,dia laki-laki; ia,,,manual,draft
new_hsk_2021_1_0004,她,ta1,tā,ta,new_hsk_2021,1,4,pronoun,dia perempuan; ia,,,manual,draft
new_hsk_2021_1_0005,我们,wo3 men5,wǒ men,wo men,new_hsk_2021,1,5,pronoun,kami; kita,,,manual,draft
new_hsk_2021_1_0006,好,hao3,hǎo,hao,new_hsk_2021,1,6,adjective,baik; bagus; sehat,,,manual,draft
new_hsk_2021_1_0007,是,shi4,shì,shi,new_hsk_2021,1,7,verb,adalah; merupakan,,,manual,draft
new_hsk_2021_1_0008,不,bu4,bù,bu,new_hsk_2021,1,8,adverb,tidak; bukan,,,manual,draft
new_hsk_2021_1_0009,在,zai4,zài,zai,new_hsk_2021,1,9,verb,berada di; ada di,,,manual,draft
new_hsk_2021_1_0010,有,you3,yǒu,you,new_hsk_2021,1,10,verb,punya; memiliki; ada,,,manual,draft
new_hsk_2021_1_0011,人,ren2,rén,ren,new_hsk_2021,1,11,noun,orang; manusia,,,manual,draft
new_hsk_2021_1_0012,中国,zhong1 guo2,zhōng guó,zhong guo,new_hsk_2021,1,12,noun,Tiongkok; China,,,manual,draft
new_hsk_2021_1_0013,汉语,han4 yu3,hàn yǔ,han yu,new_hsk_2021,1,13,noun,bahasa Mandarin; bahasa Tionghoa,,,manual,draft
new_hsk_2021_1_0014,学习,xue2 xi2,xué xí,xue xi,new_hsk_2021,1,14,verb,belajar; mempelajari,,,manual,draft
new_hsk_2021_1_0015,学生,xue2 sheng1,xué shēng,xue sheng,new_hsk_2021,1,15,noun,siswa; murid; pelajar,,,manual,draft
new_hsk_2021_1_0016,老师,lao3 shi1,lǎo shī,lao shi,new_hsk_2021,1,16,noun,guru,,,manual,draft
new_hsk_2021_1_0017,学校,xue2 xiao4,xué xiào,xue xiao,new_hsk_2021,1,17,noun,sekolah,,,manual,draft
new_hsk_2021_1_0018,书,shu1,shū,shu,new_hsk_2021,1,18,noun,buku,本,,manual,draft
new_hsk_2021_1_0019,水,shui3,shuǐ,shui,new_hsk_2021,1,19,noun,air,杯,,manual,draft
new_hsk_2021_1_0020,吃,chi1,chī,chi,new_hsk_2021,1,20,verb,makan,,,manual,draft
